,tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total,tave-1.0,tave-2.0,tave-3.0,tmin-1.0,tmin-2.0,tmin-3.0,tmax-1.0,tmax-2.0,tmax-3.0,heat_index-1.0,heat_index-2.0,heat_index-3.0,pr-1.0,pr-2.0,pr-3.0,wind_speed-1.0,wind_speed-2.0,wind_speed-3.0,rh-1.0,rh-2.0,rh-3.0,solar_rad-1.0,solar_rad-2.0,solar_rad-3.0,uv_rad-1.0,uv_rad-2.0,uv_rad-3.0
36,25.556,23.066,28.834000000000003,26.433999999999997,0.4800000000000001,3.714,68.282,190.046,22.378,10000.0,10000.0,883.1200000000001,1327.64,153.76,13262.429999999998,35130.87,0.0,0.0,12.4,6.2,105.4,0.0,27.075,27.736,27.536,25.108333333333334,25.784,25.392000000000003,29.748333333333335,30.384000000000004,30.112000000000002,29.625,31.122000000000003,30.695999999999998,1.1216666666666668,2.918,5.808,2.5116666666666667,3.084,2.064,78.24499999999999,78.82000000000001,78.188,153.03833333333333,175.394,192.85,18.603333333333335,21.47,23.406
37,24.922,22.712,27.774,25.506,0.286,3.138,67.30799999999999,197.286,23.014,10000.0,10000.0,10000.0,9998.3,949.4799999999999,19963.57,43807.21,0.0,0.0,0.0,0.0,6.2,0.0,26.895,27.588,27.296000000000003,24.88,25.526,25.052,29.503333333333334,30.168,29.863999999999997,29.183333333333334,30.644,30.186,1.125,4.148000000000001,6.0280000000000005,2.21,2.536,1.524,77.39833333333333,78.062,78.89,153.86333333333334,174.8,193.374,18.56,21.1,23.496000000000002
38,25.18,22.716,28.438,25.976,0.49800000000000005,3.692,68.99600000000001,189.61999999999998,22.312,10000.0,2208.15,700.0,10000.0,301.91,51419.3,11308.55,0.0,6.2,62.0,0.0,105.4,0.0,26.786666666666665,27.424,27.266000000000002,24.819999999999997,25.462,25.068,29.488333333333333,30.124000000000002,29.942,29.135,30.516000000000002,30.183999999999997,2.875,10.25,5.39,2.558333333333333,3.108,2.07,78.93333333333334,79.50399999999999,78.66799999999999,154.22,176.642,194.846,18.708333333333332,21.580000000000002,23.554
39,26.607999999999997,23.82,30.206,28.101999999999997,0.516,2.912,72.24000000000001,196.138,23.314,10000.0,10000.0,883.1200000000001,1327.64,153.76,13262.429999999998,35130.87,0.0,0.0,11.2,5.6,95.2,0.0,25.556,27.075,27.736,23.066,25.108333333333334,25.784,28.834000000000003,29.748333333333335,30.384000000000004,26.433999999999997,29.625,31.122000000000003,0.4800000000000001,1.1216666666666668,2.918,3.714,2.5116666666666667,3.084,68.282,78.24499999999999,78.82000000000001,190.046,153.03833333333333,175.394,22.378,18.603333333333335,21.47
40,26.208,23.546,29.464,27.344,0.46799999999999997,2.182,70.792,197.318,23.3,10000.0,10000.0,10000.0,9998.3,949.4799999999999,19963.57,43807.21,0.0,0.0,0.0,0.0,5.6,0.0,24.922,26.895,27.588,22.712,24.88,25.526,27.774,29.503333333333334,30.168,25.506,29.183333333333334,30.644,0.286,1.125,4.148000000000001,3.138,2.21,2.536,67.30799999999999,77.39833333333333,78.062,197.286,153.86333333333334,174.8,23.014,18.56,21.1
41,26.233999999999998,23.396,29.907999999999998,27.607999999999997,0.6940000000000001,2.908,72.80199999999999,197.88,23.482,10000.0,2208.15,700.0,10000.0,301.91,51419.3,11308.55,0.0,5.6,56.0,0.0,95.2,0.0,25.18,26.786666666666665,27.424,22.716,24.819999999999997,25.462,28.438,29.488333333333333,30.124000000000002,25.976,29.135,30.516000000000002,0.49800000000000005,2.875,10.25,3.692,2.558333333333333,3.108,68.99600000000001,78.93333333333334,79.50399999999999,189.61999999999998,154.22,176.642,22.312,18.708333333333332,21.580000000000002
42,28.05,24.98,31.873333333333335,30.40833333333333,0.28833333333333333,3.4250000000000003,70.28666666666668,240.57333333333335,28.911666666666665,10000.0,10000.0,883.12,1327.64,153.76,13262.43,35130.87,0.0,0.0,10.333333333333334,5.166666666666667,87.83333333333333,0.0,26.607999999999997,25.556,27.075,23.82,23.066,25.108333333333334,30.206,28.834000000000003,29.748333333333335,28.101999999999997,26.433999999999997,29.625,0.516,0.4800000000000001,1.1216666666666668,2.912,3.714,2.5116666666666667,72.24000000000001,68.282,78.24499999999999,196.138,190.046,153.03833333333333,23.314,22.378,18.603333333333335
43,27.66333333333333,24.71166666666667,31.149999999999995,29.501666666666665,0.315,2.2916666666666665,68.77,240.33166666666668,28.77,10000.0,10000.0,10000.0,9998.3,949.48,19963.57,43807.21,0.0,0.0,0.0,0.0,5.166666666666667,0.3333333333333333,26.208,24.922,26.895,23.546,22.712,24.88,29.464,27.774,29.503333333333334,27.344,25.506,29.183333333333334,0.46799999999999997,0.286,1.125,2.182,3.138,2.21,70.792,67.30799999999999,77.39833333333333,197.318,197.286,153.86333333333334,23.3,23.014,18.56
44,27.688333333333333,24.566666666666666,31.615,29.830000000000002,0.24,3.421666666666667,70.75166666666667,242.11166666666668,29.02333333333333,10000.0,2208.15,700.0,10000.0,301.91,51419.30000000001,11308.549999999997,0.0,5.166666666666667,51.666666666666664,0.0,87.83333333333333,0.0,26.233999999999998,25.18,26.786666666666665,23.396,22.716,24.819999999999997,29.907999999999998,28.438,29.488333333333333,27.607999999999997,25.976,29.135,0.6940000000000001,0.49800000000000005,2.875,2.908,3.692,2.558333333333333,72.80199999999999,68.99600000000001,78.93333333333334,197.88,189.61999999999998,154.22,23.482,22.312,18.708333333333332
45,29.936,26.77,34.066,33.962,0.742,2.216,67.84,257.746,31.582,10000.0,10000.0,883.1200000000001,1327.64,153.76,13262.429999999998,35130.87,0.0,0.0,12.0,6.0,102.0,0.0,28.05,26.607999999999997,25.556,24.98,23.82,23.066,31.873333333333335,30.206,28.834000000000003,30.40833333333333,28.101999999999997,26.433999999999997,0.28833333333333333,0.516,0.4800000000000001,3.4250000000000003,2.912,3.714,70.28666666666668,72.24000000000001,68.282,240.57333333333335,196.138,190.046,28.911666666666665,23.314,22.378
