,year,week,month,adm3_pcode,adm3_en,tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,clinic_nearest,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,clinic_count,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
2349,2020,29,7,PH137401000,City of Mandaluyong,29.59857142857143,27.18285714285714,32.41142857142857,34.86142857142857,2.751405320869081,1.8214285714285712,74.73142857142858,226.37571428571434,27.645714285714288,10000.0,150.91144438838762,1049.2619724810406,994.0770912925899,1327.641415600678,90.06368998482145,15229.934299045139,39485.21962483724,0.0,98.0,7.0,21.0,7.0,266.0,0.0
2350,2020,29,7,PH137503000,City of Navotas,29.18000000000001,26.51000000000001,32.272857142857156,33.99857142857144,3.1235450990491556,0.982857142857143,75.98285714285716,228.3457142857143,27.968571428571437,10000.0,9770.122342089935,9939.376869191914,10000.0,9998.301374020983,380.54590452568516,20516.12535749163,44949.9954892113,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2351,2020,29,7,PH137603000,City of Muntinlupa,29.288168136582406,26.846129896777175,32.17122249034872,34.21100753909821,3.147242277428169,1.81923490858766,75.48275809444088,227.83998423202303,27.7400417878735,10000.0,811.0600677686391,968.972054577543,819.6742554068244,901.3755025811137,204.63707903665835,53182.67990451389,11652.4895637281,0.0,84.0,21.0,49.0,49.0,273.0,0.0
2352,2020,30,7,PH137401000,City of Mandaluyong,29.174285714285716,26.567142857142855,32.71571428571428,34.135714285714286,6.251858164013638,1.39,76.11714285714287,222.19,27.40571428571429,10000.0,150.91144438838762,1049.2619724810406,994.0770912925899,1327.641415600678,90.06368998482145,15229.934299045139,39485.21962483724,0.0,98.0,7.0,21.0,7.0,266.0,0.0
2353,2020,30,7,PH137503000,City of Navotas,28.782857142857154,25.810000000000006,32.45571428571429,33.534285714285716,4.606734868149073,0.8771428571428571,77.99142857142859,227.2557142857143,28.124285714285726,10000.0,9770.122342089935,9939.376869191914,10000.0,9998.301374020983,380.54590452568516,20516.12535749163,44949.9954892113,0.0,0.0,0.0,0.0,0.0,28.0,0.0
2354,2020,30,7,PH137603000,City of Muntinlupa,28.8737539050808,26.266062632227715,32.48208919315717,33.500100477560075,5.482512350974388,1.4064524713068391,76.80485615776875,223.18098718838198,27.438070812617745,10000.0,811.0600677686391,968.972054577543,819.6742554068244,901.3755025811137,204.63707903665835,53182.67990451389,11652.4895637281,0.0,84.0,21.0,49.0,49.0,273.0,0.0
2355,2020,31,7,PH137401000,City of Mandaluyong,27.926,26.136000000000003,30.806000000000004,32.296,29.353675110667357,0.65,83.052,140.38,18.972,10000.0,150.91144438838762,1049.2619724810406,994.0770912925898,1327.641415600678,90.06368998482145,15229.934299045139,39485.21962483724,0.0,70.0,5.0,15.0,5.0,190.0,0.0
2356,2020,31,7,PH137503000,City of Navotas,27.645999999999994,25.741999999999997,30.425999999999995,31.839999999999996,30.18536317662128,0.8019999999999999,84.83399999999999,146.78199999999998,19.418000000000003,10000.0,9770.122342089937,9939.376869191914,10000.0,9998.301374020983,380.5459045256851,20516.12535749163,44949.9954892113,0.0,0.0,0.0,0.0,0.0,20.0,0.0
2357,2020,31,7,PH137603000,City of Muntinlupa,27.699504311675852,25.91564656763041,30.624035667346366,31.753945912010682,23.572285058046216,0.633876578119298,83.52572149049494,140.94278420183596,18.97507112797728,10000.0,811.0600677686391,968.972054577543,819.6742554068244,901.3755025811138,204.63707903665835,53182.67990451389,11652.489563728102,0.0,60.0,15.0,35.0,35.0,195.0,0.0
2358,2020,31,8,PH137401000,City of Mandaluyong,27.78499999999999,26.52999999999999,29.84999999999999,31.754999999999995,8.497882785371585,0.25999999999999995,80.68499999999999,105.63999999999997,14.565,10000.0,150.91144438838762,1049.2619724810406,994.0770912925899,1327.641415600678,90.06368998482147,15229.934299045139,39485.21962483724,0.0,28.0,2.0,6.0,2.0,76.0,
