tave,tmin,tmax,heat_index,pr,wind_speed,rh,solar_rad,uv_rad,dentist_nearest,doctors_nearest,hospital_nearest,optician_nearest,pharmacy_nearest,pop_count_total,pop_density_mean,dentist_count,doctors_count,hospital_count,optician_count,pharmacy_count,case_total
26.82,23.63,31.00,28.09,0.00,3.00,70.85,244.95,28.52,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,3.00,1.00,6.00,1.00,18.00,0.00
27.43,24.18,31.54,28.93,0.05,3.48,68.53,260.84,30.38,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
26.89,23.71,30.90,27.89,0.00,2.29,67.12,262.64,30.39,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,7.00
27.03,23.74,31.20,28.39,0.34,3.48,69.03,261.56,30.47,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,5.00
26.96,24.05,30.69,28.43,0.00,3.66,69.95,242.72,29.10,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,6.00
26.54,23.68,29.95,27.64,0.00,2.46,68.50,244.40,29.26,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,1.00
26.57,23.57,30.40,27.90,0.00,3.64,70.29,243.91,29.17,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,10.00
27.44,24.43,30.85,29.12,0.51,2.09,68.00,212.58,25.94,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,6.00
27.11,24.17,30.36,28.48,0.56,1.17,67.41,220.06,26.97,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,3.00
27.06,23.94,30.63,28.58,0.00,2.09,68.43,213.79,25.98,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,12.00
27.99,25.54,31.27,30.61,0.52,4.33,72.77,240.56,28.84,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
27.67,25.37,30.80,29.81,0.56,2.99,71.63,224.88,27.41,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,8.00
27.64,25.15,30.98,30.00,0.42,4.30,73.20,243.31,29.10,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,4.00
28.73,25.52,32.80,31.40,0.00,4.38,68.99,266.18,31.91,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,2.00,0.00,4.00,2.00,36.00,2.00
28.40,25.07,32.51,30.44,0.00,2.77,67.16,268.98,32.17,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,2.00,7.00
28.38,25.12,32.54,30.80,0.00,4.36,69.43,267.52,31.99,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,6.00,2.00,12.00,2.00,36.00,8.00
28.86,26.02,32.63,31.83,0.09,2.87,69.77,252.15,30.29,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,5.00,0.00,10.00,5.00,90.00,0.00
28.47,25.67,31.76,30.84,0.18,1.94,68.38,251.29,29.91,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,5.00,0.00
28.53,25.58,32.44,31.22,0.00,2.82,70.08,253.72,30.43,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,15.00,5.00,30.00,5.00,90.00,0.00
28.80,25.67,32.62,31.46,0.00,3.51,67.61,269.02,31.23,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,4.00
28.51,25.55,31.89,30.68,0.00,2.43,66.10,269.59,31.62,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,4.00
28.44,25.22,32.39,30.87,0.00,3.48,68.07,270.53,31.35,1800.19,2208.15,675.96,1743.96,300.98,51784.80,11364.11,21.00,7.00,42.00,7.00,126.00,7.00
29.56,26.43,33.67,33.75,0.45,3.01,70.88,246.67,30.63,1461.16,10000.00,883.62,1327.64,153.05,13551.19,35729.54,7.00,0.00,14.00,7.00,126.00,2.00
29.01,26.10,32.64,32.31,0.69,2.05,69.54,244.05,30.25,10000.00,10000.00,10000.00,9998.30,949.48,20156.26,44536.11,0.00,0.00,0.00,0.00,7.00,3.00
